種別,物件名,販売価格,所在地,沿線・駅,間取り,土地面積,建物面積,築年月,坪単価,URL,情報取得日
新築,１／３１更新飯田グループHD≪ホームトレードセンター≫【本日見学可能】,2280万円・2380万円,岐阜県各務原市川島松倉町,ＪＲ高山本線「那加」車6.8km,4LDK,193.15m2・225.89m2（58.42坪・68.33坪）,95.65m2・107.24m2（28.93坪・32.43坪）,,,https://suumo.jp/ikkodate/gifu/sc_kakamigahara/nc_78671441/,2026-02-01
新築,◆成約特典：ＪＣＢ商品券7.4万円＆ヤマダ電機特別割引券◆長期優良住宅◆,2280万円・2380万円,岐阜県各務原市川島松倉町770,ＪＲ高山本線「那加」徒歩82分,4LDK,193.15m2・225.89m2（58.42坪・68.33坪）（登記）,95.65m2・107.24m2（28.93坪・32.43坪）,,,https://suumo.jp/ikkodate/gifu/sc_kakamigahara/nc_78489385/,2026-02-01
新築,■当社限定特典有、即日案内可能！■頭金０円、他借入もおまとめローン可能！,2290万円・2390万円,岐阜県各務原市那加土山町２,名鉄各務原線「新加納」徒歩23分,4LDK+S（納戸）,161.35m2・195.99m2（48.80坪・59.28坪）,97.59m2・98.81m2（29.52坪・29.88坪）,,,https://suumo.jp/ikkodate/gifu/sc_kakamigahara/nc_20075193/,2026-02-01
新築,【完成間近内覧可】◆平屋！◆川島小歩13分♪◆4LDKでお子様部屋も確保♪,2380万円,岐阜県各務原市川島松倉町,名鉄各務原線「新那加」車18km,4LDK,225.89m2（68.33坪）,95.65m2（28.93坪）,,,https://suumo.jp/ikkodate/gifu/sc_kakamigahara/nc_79225939/,2026-02-01
新築,■当社限定特典有、即日案内可能！■頭金０円、他借入もおまとめローン可能！,2480万円・2580万円,岐阜県岐阜市島田１,ＪＲ東海道本線「岐阜」バス17分停歩5分,5LDK,150.82m2・159.05m2（45.62坪・48.11坪）,106m2（32.06坪）,,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78834438/,2026-02-01
新築,１／３１更新飯田グループHD≪ホームトレードセンター≫【本日見学可能】,2480万円・2580万円,岐阜県岐阜市島田１,ＪＲ東海道本線「岐阜」バス17分停歩5分,5LDK,150.82m2・159.05m2（45.62坪・48.11坪）,106m2（32.06坪）,,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78580589/,2026-02-01
新築,成約特典：ＪＣＢ商品券8.0万円＆ヤマダ電機特別割引券◆簡単予約可能◆,2480万円・2580万円,岐阜県岐阜市島田１-5-15,名鉄名古屋本線「名鉄岐阜」バス10分停歩8分,5LDK,150.82m2・159.05m2（45.62坪・48.11坪）（登記）,106m2（32.06坪）（実測）,,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78606158/,2026-02-01
新築,◆土日オープンハウス◆５ＬＤＫ！収納も豊富♪徒歩圏内に買物施設充実！,2480万円・2580万円,岐阜県岐阜市島田１,ＪＲ東海道本線「岐阜」バス16分停歩6分,5LDK,150.82m2・159.05m2（45.62坪・48.11坪）,106m2（32.06坪）,,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78525225/,2026-02-01
新築,１／３１更新飯田グループHD≪ホームトレードセンター≫【本日見学可能】,2490万円,岐阜県各務原市那加新田町２,ＪＲ高山本線「那加」徒歩13分,4LDK,188.73m2（57.09坪）,102.06m2（30.87坪）,,,https://suumo.jp/ikkodate/gifu/sc_kakamigahara/nc_78128072/,2026-02-01
新築,■当社限定特典有、即日案内可能！■頭金０円、他借入もおまとめローン可能！,2490万円,岐阜県各務原市那加新田町２,名鉄各務原線「新那加」徒歩10分,4LDK,188.73m2（57.09坪）,95.58m2（28.91坪）,,,https://suumo.jp/ikkodate/gifu/sc_kakamigahara/nc_20075836/,2026-02-01
新築,◆お陰様で最終1邸◆敷地面積70坪超◆南向き駐車3台◆プラント6徒歩4分,2490万円,岐阜県瑞穂市犀川１-98番,樽見鉄道「横屋」徒歩35分,4LDK,233.29m2（登記）,101.85m2（登記）,,,https://suumo.jp/ikkodate/gifu/sc_mizuho/nc_78528470/,2026-02-01
新築,１／３１更新飯田グループHD≪ホームトレードセンター≫【本日見学可能】,2580万円,岐阜県岐阜市日野南３,ＪＲ高山本線「長森」徒歩57分,4LDK,181.82m2（55.00坪）,119.25m2（36.07坪）,,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_79089278/,2026-02-01
新築,１／３１更新飯田グループHD≪ホームトレードセンター≫【本日見学可能】,2580万円,岐阜県岐阜市野一色１,ＪＲ高山本線「長森」車3km,5LDK,161.07m2（48.72坪）,106m2（32.06坪）,,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78588531/,2026-02-01
新築,■当社限定特典有、即日案内可能！■頭金０円、他借入もおまとめローン可能！,2580万円,岐阜県岐阜市野一色１,ＪＲ高山本線「長森」車3km,5LDK,161.07m2・182.1m2（48.72坪・55.08坪）,106m2・106.6m2（32.06坪・32.24坪）,,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78693517/,2026-02-01
新築,１／３１更新飯田グループHD≪ホームトレードセンター≫【本日見学可能】,2590万円・2690万円,岐阜県岐阜市近島１,ＪＲ東海道本線「岐阜」バス22分停歩2分,4LDK,171.19m2・196.49m2（51.78坪・59.43坪）,99.36m2・99.77m2（30.05坪・30.18坪）,,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78969975/,2026-02-01
新築,◆成約特典：ＪＣＢ商品券8.8万円＆ヤマダ電機特別割引券◆簡単予約可能◆,2760万円,岐阜県岐阜市前一色２-15番6,ＪＲ高山本線「長森」徒歩17分,5LDK,152.74m2（46.20坪）（登記）,108.89m2（32.93坪）（実測）,,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78552589/,2026-02-01
新築,鶉小学校まで徒歩11分♪/岐阜バス【北鶉】まで徒歩5分♪,2880万円～3280万円,岐阜県岐阜市西鶉２-29,ＪＲ東海道本線「岐阜」バス17分停歩5分,4LDK,171.39m2・208.09m2,109.32m2・119.25m2,,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78219660/,2026-02-01
新築,アクセスも教育も。家族が笑顔になる『岐南町野中の家』,2880万円,岐阜県羽島郡岐南町野中３-45番2,名鉄各務原線「手力」徒歩26分,3LDK+S（納戸）～4LDK,171.75m2～173.67m2,107.51m2～109.32m2,,,https://suumo.jp/ikkodate/gifu/sc_hashimagun/nc_76002726/,2026-02-01
新築,６月完成☆羽島市福寿町間島分譲④☆ZEH住宅☆竹鼻小学校７分☆,2880万円,岐阜県羽島市福寿町間島９丁目19番,名鉄竹鼻線「竹鼻」徒歩17分,4LDK+S（納戸）,190.76m2,120.09m2,,,https://suumo.jp/ikkodate/gifu/sc_hashima/nc_77224521/,2026-02-01
新築,◆◇南向きの庭と前道6ｍ、ゆとりを感じる4LDK◇◆,2880万円,岐阜県岐阜市須賀２-41.42,ＪＲ東海道本線「西岐阜」徒歩33分,3LDK+S（納戸）～4LDK,170.07m2～170.09m2,109.32m2,,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_76452662/,2026-02-01
新築,◆成約特典：ＪＣＢ商品券9.5万円＆ヤマダ電機特別割引券◆簡単予約可能◆,2980万円,岐阜県岐阜市西鶉６-20-1,ＪＲ東海道本線「岐阜」バス18分停歩4分,4LDK,175.21m2・175.22m2（53.00坪・53.00坪）（登記）,111.27m2・112.62m2（33.65坪・34.06坪）（実測）,,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78475379/,2026-02-01
